ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
83,Berkadia,2022-23,NC,All (UG),1,0,1,2,0,2,8.5
84,BirlaSoft,2019-20,6.82,All(UG),0,2,0,2,0,2,3.25
85,bizAmica Software,2020 -21,7.5,CE & IT (UG),0,0,2,2,0,2,6
86,Bizreach,2019-20,NC,All (UG),1,0,0,0,1,1,32
87,Bloomberg,2022-23,8.5,CS & IT (UG),3,0,0,3,0,3,35
88,Blue Flame Labs,2019-20,NC,All(UG),1,0,2,3,0,3,3
89,BMC Software,2021 -22,6.82,All (UG),3,0,2,5,0,5,12.5
90,BMC Software,2022-23,PPO,All (UG),4,0,4,8,0,8,14
91,BMC Softwares,2023-24,PPO,All UG,3,2,2,2,5,7,14
92,BNY Mellon,2023-24,7.5,All UG,4,0,1,5,0,5,21.64
93,BNY Mellon,2022-23,8,All (UG),9,4,7,16,4,20,21.64
94,Brainstorm Force,2023-24,6.82,ALL UG,1,0,0,1,0,1,7
95,BUDDI.AI,2020 -21,NC,All (UG),0,0,2,2,0,2,7
96,Cadence,2022-23,7,E&TC (UG),0,1,0,1,0,1,15
97,Cadence,2023-24,0,All UG,0,2,0,2,0,2,15
98,CakeSoft Technologies,2020 -21,8,All (UG),5,0,4,8,1,9,12
99,Capgemini,2019-20,6.82,All (UG and PG),2,1,1,3,1,4,6.8
100,Capgemini,2020 -21,6.82,All (UG),0,6,0,5,1,6,3.8
101,Capgemini,2021 -22,NC,All (UG),0,1,0,1,0,1,4
102,Capgemini,2019-20,6.82,All (UG and PG),3,12,1,12,5,17,3.8
103,Celebal Technologies,2021 -22,6.82,All (UG and PG),1,0,0,1,0,1,8
104,Celebal Technologies,2021 -22,6.82,All (UG and PG),0,2,0,2,0,2,5
105,Cencora,2023-24,7.95,ALL UG,5,3,7,13,2,15,7
106,Centiro,2020 -21,7,CE & IT (UG),0,0,0,0,0,0,3.8
107,Ciena,2021 -22,7,ALL(UG),0,1,0,1,0,1,11.38
108,Ciena,2020 -21,7.95,CE & IT (UG),0,0,0,0,0,0,10.5
109,CION Digital,2021 -22,8,CE & IT (UG),2,0,0,1,1,2,20.15
110,Cisco,2023-24,0,All UG,1,0,0,0,1,1,22
111,Cloudlex,2022-23,7.5,All (UG),3,0,0,3,0,3,11.5
112,Cloudwerx,2019-20,7.5,CE & IT (UG),0,0,0,0,0,0,5
113,Cloudwerx,2020 -21,7.5,All (UG),0,2,0,1,1,2,5
114,CLSA,2022-23,NC,CS & IT (UG),1,2,6,7,2,9,8.4
115,CLSA,2020 -21,6.82,CE & IT (UG),0,0,1,0,1,1,8
116,CLSA,2021 -22,6.82,CE & IT (UG),0,0,1,1,0,1,8
117,CLSA,2019-20,6.82,All (UG),0,0,0,0,0,0,8.5
118,Codenation,2019-20,NC,All (UG),0,0,0,0,0,0,0
119,Codevita Live,2020 -21,6.82,All (UG and PG),0,1,0,0,1,1,14.4
120,CodeWalla,2023-24,6.82,ALl UG,1,1,0,1,1,2,10
121,Cognizant,2022-23,NC,All (UG),0,1,0,1,0,1,4
122,Cognizant,2019-20,6.82,All(UG),0,3,0,0,3,3,4
123,Cognizant,2020 -21,6.82,All (UG and PG),6,14,6,19,7,26,4.01
124,Cognizant,2020 -21,6.82,All (UG and PG),0,0,1,1,0,1,6.75
125,Cognizant,2021 -22,6.82,All (UG and PG),0,3,0,4,1,5,4
126,Compass,2019-20,NC,All(UG),1,0,0,0,1,1,15
127,Corizo,2023-24,5,ALl UG,0,1,1,2,0,2,6.5
128,Crane process flow,2019-20,6.5,E&TC (UG),0,1,0,0,1,1,4.6
129,Credit Suisse,2022-23,PPO,All (UG),6,0,2,7,1,8,18
130,Credit Suisse,2019-20,6.82,CE & IT (UG),0,0,0,0,0,0,10.81
131,Credit Suisse,2021 -22,PPO,CE & IT (UG),2,0,3,3,2,5,13.59
132,CrowdStrike,2020 -21,7.95,CE & IT (UG and PG),1,0,0,1,0,1,12.65
133,Crowdworks,2019-20,7,All (UG and PG),0,0,0,0,0,0,34
134,Cumulus,2021 -22,0,All(UG),2,2,0,2,2,4,8.53
135,Cutshort,2022-23,7,All (UG),0,1,0,1,0,1,7
