ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
1,3EA,2020 -21,6.82,All (UG and PG),0,1,0,1,0,1,6
2,64squares,2020 -21,6.82,All (UG),0,1,0,0,1,1,7.5
3,64Squares,2021 -22,6.82,All (UG),0,1,0,1,0,1,7.5
4,Accenture,2020 -21,7.38,All (UG),0,2,0,1,1,2,6.5
5,Accenture,2020 -21,7.38,All (UG),6,11,6,10,13,23,4.5
6,Accenture,2021 -22,NC,All (UG and PG),2,1,0,3,0,3,6.5
7,Accenture,2021 -22,NC,All (UG and PG),0,6,1,2,5,7,4.5
8,ACI Worldwide,2019-20,8,CE & I T (UG),14,0,3,13,4,17,8
9,Acquia,2020 -21,6.82,CE & IT (UG),3,0,6,5,4,9,8.38
10,Acquia,2021 -22,6.82,CE & IT (UG),2,0,3,1,4,5,8
11,Acquia,2019-20,6.82,CE & IT (UG),3,0,0,2,1,3,8
12,Acuitilabs,2021 -22,6.82,All(UG),1,0,0,1,0,1,8
13,Adobe,2021 -22,PPO,All (UG),1,0,0,0,1,1,40.92
14,ADP,2020 -21,6.82,All (UG - Female),1,0,0,0,1,1,5
15,Agiliad,2020 -21,7.38,All (UG),3,7,2,5,7,12,4
16,AlefEdge,2020 -21,6.82,All (UG),5,1,1,6,1,7,7.04
17,AlefEdge,2019-20,6.82,All(UG),0,0,1,1,0,1,6
18,Aligned Automation,2020 -21,6.82,All (UG),0,2,0,2,0,2,3.75
19,Altimetrik,2019-20,7,All(UG),2,4,0,3,3,6,5
20,Altizon Inc.,2020 -21,7,All (UG),2,0,1,2,1,3,8.25
21,Amazon,2021 -22,6.5,All (UG),6,1,4,9,2,11,44.14
22,Amazon,2021 -22,PPO,All (UG),1,0,0,1,0,1,112
23,Amazon,2021 -22,6.5,All (UG),0,0,1,0,1,1,30.18
24,Amdocs,2021 -22,6.82,All (UG),2,24,3,15,14,29,6
25,Amdocs,2020 -21,6.82,All (UG and PG),6,19,5,20,10,30,5
26,Amdocs,2019-20,6.82,All UG,2,9,2,10,3,13,5
27,Amura,2019-20,7.38,All(UG),0,0,0,0,0,0,5
28,Amura,2020 -21,6.82,All (UG),0,1,1,1,1,2,4.5
29,Amura,2019-20,8.5,All(UG),0,0,1,1,0,1,10.5
30,Anchanto,2020 -21,6,CE & IT (UG),0,0,0,0,0,0,7.5
31,Apisero,2020 -21,6.5,All (UG and PG),3,7,2,9,3,12,5.1
32,Arista Networks,2021 -22,PPO,All (UG),0,0,0,0,0,0,21.5
33,Arista Networks,2020 -21,8,All (UG),1,0,1,2,0,2,15.5
