company_id,year,Company_name,cgpa_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
67b,2019-20,Amura,7.38,All(UG),0,0,0,0,0,0,0,0,5
68,2019-20,Imagination Tech.,8,All(UG),0,0,0,0,0,0,0,0,8.5
69,2019-20,Goldman Sachs,7.5,All(UG),1,2,0,0,2,3,2,5,23
70,2019-20,Infogen Lab,6.82,CE & IT (UG),1,0,NA,NA,1,2,0,2,5
71,2019-20,Reflexis,6,CE & IT (UG),3,0,NA,NA,0,2,1,3,6
72,2019-20,Redpanda,5.68,All(UG),2,0,0,0,0,2,0,2,5
73,2019-20,Valuefy,6.82,All(UG),0,0,0,0,0,0,0,0,6
74,2019-20,Logicmonitor,6.82,All(UG),1,0,0,0,0,1,0,1,7.7
75,2019-20,Mobikasa,6.82,All(UG),0,0,0,0,0,0,0,0,7
76,2019-20,Credit Suisse,6.82,CE & IT (UG),0,0,NA,NA,0,0,0,0,10.81
77,2019-20,Relfor Lab,NC,All (UG),0,0,0,0,0,0,0,0,5
78,2019-20,Compass,NC,All(UG),0,1,0,0,0,0,1,1,15
79,2019-20,Sincro (CDK Global),6.25,CE & IT (UG/PG),2,1,NA,NA,0,1,2,3,7.75
80,2019-20,Numerator,6.82,All (UG),1,0,0,0,1,2,0,2,6
81,2019-20,Cloudwerx,7.5,CE & IT (UG),0,0,NA,NA,0,0,0,0,5
82,2019-20,Ubisoft,NC,All (UG),0,0,0,0,0,0,0,0,7
83,2019-20,Schlumberger,6.82,All (UG and PG),0,0,1,0,0,1,0,1,8.8
84,2019-20,STL,6.82,All (UG),2,1,2,0,0,2,3,5,8
85,2019-20,Sagitec,6.82,CE & IT (UG),2,0,NA,NA,1,1,2,3,5
86,2019-20,Acquia,6.82,CE & IT (UG),3,0,NA,NA,0,2,1,3,8
87,2019-20,Deeptek,NC,CE & IT (UG),1,0,NA,NA,0,0,1,1,6.5
88,2019-20,Groww,NC,All (UG),2,0,0,0,0,2,0,2,20
89,2019-20,Druva,NC,CE & IT (UG),3,1,NA,NA,3,7,0,7,12
90,2019-20,Flextrade,NC,CE & IT (UG),1,1,NA,NA,1,3,0,3,8
91,2019-20,Tech Prescient,6.82,All(UG),1,0,0,0,0,0,1,1,6
92,2019-20,InnoGenium,6.82,All(UG),1,0,5,0,0,1,5,6,8.5
93,2019-20,TCS Ninja,6.82,All (UG and PG),1,0,1,0,0,0,2,2,3.5
94,2019-20,Persistent,6.82,CE & IT (UG),1,1,NA,NA,1,1,2,3,4.41
95,2019-20,Capgemini,6.82,All (UG and PG),3,0,10,2,1,12,5,17,3.8
96,2019-20,Xorient,6.82,CE & IT (UG),0,0,0,0,0,0,0,0,4.5
97,2019-20,Vodafone,6.82,All UG,0,0,8,3,1,7,5,12,4.25
98,2019-20,BirlaSoft,6.82,All(UG),0,0,2,0,0,2,0,2,3.25
99,2019-20,Paragyte,6.82,All(UG),0,0,0,0,0,0,0,0,4
100,2019-20,eInfochip,6.82,All(UG),0,0,3,0,0,0,3,3,3.6
101,2019-20,e-Zest,6.82,All(UG),0,0,1,0,1,0,2,2,4
102,2019-20,Xpanxion,6.82,All(UG),0,0,2,0,0,1,1,2,4.5
103,2019-20,IBM,6.82,All(UG),0,0,2,1,0,0,3,3,4.1
104,2019-20,Cognizant,6.82,All(UG),0,0,3,0,0,0,3,3,4
105,2019-20,Crane process flow,6.5,E&TC (UG),NA,NA,0,1,NA,0,1,1,4.6
106,2019-20,Eternus Solutions,6.82,All(UG),1,0,1,0,0,1,1,2,4.25
107,2019-20,Flo Group,7,All(UG),0,0,1,0,0,0,1,1,3.5
108,2019-20,Lifeline Systech,7.38,All(UG),0,0,1,0,2,2,1,3,4.5
109,2019-20,Endurance International,6.82,All(UG),0,0,2,0,0,1,1,2,4.5
110,2019-20,Demand Matrix,6.82,All(UG),0,0,0,0,0,0,0,0,4.5
111,2019-20,Lentra AI,NC,CE & IT (UG),2,0,NA,NA,2,3,1,4,4.8
112,2019-20,Reposenergy,NC,All(UG),0,0,0,0,0,0,0,0,3.5
113,2019-20,Blue Flame Labs,NC,All(UG),1,0,0,0,2,3,0,3,3
114,2019-20,GNS Engg.,NC,CE & IT (UG),0,1,NA,NA,0,1,0,1,4
115,2019-20,Enthralltech,7,All (UG),1,0,1,1,1,4,0,4,4
