sr no.,Company_name,cgpa_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,Sal_lpa
88,Ittiam,8,ALL UG,0,0,2,0,1,3,1,3,16
89,Ayaan & Symtronics,6.82,ALL UG,4,1,1,0,0,2,4,6,7.65
90,Paypal,,All UG,0,0,0,0,1,1,0,1,34.8
91,Atlan,,All UG,0,0,1,0,0,1,0,1,21
92,Quorum Softwares,8,CE&IT,2,1,0,0,0,3,0,3,8
93,Turing,6.82,ALL UG,1,0,1,0,0,2,0,2,7
94,Ria Advisory,8,AlL UG,2,1,0,0,2,5,0,5,8.5
95,Rinex,6.62,AlL UG,1,1,4,3,1,7,3,10,5.2
96,Equifax,6.5,ALL UG,0,0,3,0,1,4,0,4,7
97,Zensar,7.38,ALL UG,1,0,0,0,1,2,0,2,10
98,Mindstix,6.82,ALL UG,0,0,2,0,0,1,1,2,6
99,Vertical Fox,6.82,All UG,0,0,1,0,1,1,1,2,9
100,Ordway Labs,7.5,All UG,3,1,2,0,0,2,2,6,8
101,Alpha Sense,8,All UG,1,0,0,0,1,2,0,2,20
102,Accelya,6.82,All UG,1,0,1,0,0,2,0,2,7
103,Fiserv,8,CS&IT,0,0,0,0,1,1,0,1,9.65
104,Sagitec,6.82,ALl UG,0,0,2,1,0,2,1,3,5
105,Siemens Regular,PPO,ALL UG,0,0,4,0,3,4,3,7,11
106,Sasken,6.82,ALL UG,0,0,1,0,0,1,0,1,5
107,Entrata,7.95,CE&IT,3,0,0,0,3,,1,6,6
108,NCS,6.82,ALL UG,3,1,0,0,2,5,1,6,6.82
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,P:F-TRPL/03/R0,,,,,,,,,,,
