unique_id,year,Company_name,cgpa_criteria,deg_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
64,2020 -21,IDFC FIRST Bank,6.82,UG,CE (UG),1,0,NA,NA,NA,1,0,1,15
65,2020 -21,IGT Solutions,7.38,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,4
66,2020 -21,Infogen Labs,6.82,UG,CE & IT (UG),5,0,NA,NA,0,3,2,5,5
67,2020 -21,Infosys,6.82,UG & PG,All (UG and PG),1,1,2,0,0,1,3,4,3.5
68,2020 -21,IntegriChain Inc.,6.82,UG,All (UG),0,0,0,0,0,0,0,0,3
69,2020 -21,ION Group,6.82,UG & PG,All (UG) and CE & IT (PG),2,0,1,0,2,3,2,5,12
70,2020 -21,iQ Digital,6.82,UG,All (UG),0,0,0,0,1,0,1,1,4
71,2020 -21,Jaro Education,NC,UG,All (UG),0,0,0,0,0,0,0,0,6.6
72,2020 -21,Jio,6.82,UG,All (UG),1,0,0,0,0,1,0,1,5
73,2020 -21,JISA Softech,NC,UG,All (UG),0,0,1,0,0,1,0,1,4
74,2020 -21,Jombay,NC,UG,CE & IT (UG),1,0,NA,NA,0,1,0,1,10
75,2020 -21,K12 Techno Services,NC,UG & PG,All (UG and PG),0,0,5,0,1,5,2,7,6
76,2020 -21,Kylas,6.82,UG & PG,All (UG and PG),1,1,0,0,2,3,1,4,13.11
77,2020 -21,Kylas,6.82,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,4
78,2020 -21,L & T Infotech,6.82,UG,All (UG),0,0,0,0,1,1,0,1,10
79,2020 -21,L & T Infotech,6.82,UG,All (UG),0,0,2,0,1,3,0,3,8
80,2020 -21,L & T Infotech,6.82,UG,All (UG),1,0,4,0,0,5,0,5,6.5
81,2020 -21,L & T Infotech,6.82,UG,All (UG),6,0,9,5,2,14,8,22,5
82,2020 -21,Mastercard,7.5,UG,All (UG),5,2,0,1,6,4,10,14,9.69
