ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
47,Placement-Report_modified_2019-20.csv,44,Rakuten,2019-20,6.82,All (UG and PG),2,2,0,0,0,0,0,0,2,2,37.18
48,Placement-Report_modified_2019-20.csv,45,Crowdworks,2019-20,7,All (UG and PG),0,0,0,0,0,0,0,0,0,0,34
49,Placement-Report_modified_2019-20.csv,46,Persistent,2019-20,6.82,CE & IT (UG),1,1,0,0,0,0,0,1,0,1,8.41
50,Placement-Report_modified_2019-20.csv,47,HSBC,2019-20,6.82,All(UG),15,14,1,8,5,3,14,23,14,37,7
51,Placement-Report_modified_2019-20.csv,48,ION,2019-20,6.82,All(UG),1,0,1,1,1,0,0,1,1,2,12
52,Placement-Report_modified_2019-20.csv,49,Media.net,2019-20,NC,All(UG),0,0,0,0,0,0,0,0,0,0,29.96
53,Placement-Report_modified_2019-20.csv,50,Yardi,2019-20,6.82,All(UG),3,2,1,7,5,2,0,6,4,10,5
54,Placement-Report_modified_2019-20.csv,51,ElasticRun,2019-20,6.82,All(UG),4,4,0,0,0,0,2,5,1,6,6.5
55,Placement-Report_modified_2019-20.csv,52,Live Health,2019-20,6.82,All(UG),2,1,1,0,0,0,0,1,1,2,5.83
56,Placement-Report_modified_2019-20.csv,53,Ittiam,2019-20,7.95,All (UG and PG),0,0,0,0,0,0,1,1,0,1,10.9
57,Placement-Report_modified_2019-20.csv,54,Yahoo (Japan),2019-20,7,All (UG and PG),1,1,0,0,0,0,0,1,0,1,34.82
58,Placement-Report_modified_2019-20.csv,55,Finastra,2019-20,6.82,All(UG),7,6,1,5,3,2,6,15,3,18,7.26
59,Placement-Report_modified_2019-20.csv,56,Raja Software Lab,2019-20,6.82,All (UG and PG),2,1,1,0,0,0,1,2,1,3,5
60,Placement-Report_modified_2019-20.csv,57,Turtlemint,2019-20,7.95,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,12
61,Placement-Report_modified_2019-20.csv,58,L & T Infotech,2019-20,6.82,All(UG),5,4,1,2,2,0,5,7,5,12,6.5
62,Placement-Report_modified_2019-20.csv,59,L & T Infotech,2019-20,6.82,All(UG),10,7,3,32,28,4,7,23,26,49,5
63,Placement-Report_modified_2019-20.csv,60,AlefEdge,2019-20,6.82,All(UG),0,0,0,0,0,0,1,1,0,1,6
64,Placement-Report_modified_2019-20.csv,61,Ryussi Technologies,2019-20,6.82,CE & IT (UG),0,0,0,0,0,0,1,1,0,1,7.5
