,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,,
,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,,
,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,,
,,,,,PLACEMENT REPORT (2020-21),,,,,,,,,,,,
,,,,,,Students Placement (Company Wise),,,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,Total Salary
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,ME,,,,,Sal. LPA,Visit Date,
,,,,,,,,BE,IT,ME,CE,ME,IT,,,,LPA
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,E&TC,,M,F,T,,,
,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,
34,Sophos,6.82,All (UG),3,0,1,1,3,NA,NA,NA,6,2,8,6.3,19/11/20,50.4
35,Purplle.com,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,6.5,23/11/20,0
36,Valuence Holdings,NC,All (UG and PG),2,0,0,0,0,0,0,0,1,1,2,21.22,28/11/20,42.44
37,AlefEdge,6.82,All (UG),4,1,1,0,1,NA,NA,NA,6,1,7,7.04,30/11/20,49.28
38,Infogen Labs,6.82,CE & IT (UG),5,0,NA,NA,0,NA,NA,NA,3,2,5,5,07/12/20,25
39,Kylas,6.82,All (UG and PG),1,1,0,0,2,0,0,0,3,1,4,13.11,10/12/20,52.44
40,bizAmica Software,7.5,CE & IT (UG),0,0,NA,NA,2,NA,NA,NA,2,0,2,6,12/12/20,12
41,Hitachi Vantara,7.95,CE & IT (UG and PG),0,0,NA,NA,0,0,NA,0,0,0,0,6.5,13/12/20,0
42,Salesforce,7.95,CE & IT (UG - Female),1,1,NA,NA,0,NA,NA,NA,0,2,2,8.57,16/12/20,17.14
43,Hexaware Technologies,6.82,All (UG),0,2,1,0,0,NA,NA,NA,2,1,3,5,18/12/20,15
44,Medly Pharmacy,6.82,CE & IT (UG and PG),1,1,NA,NA,1,0,NA,0,3,0,3,7,21/12/20,21
45,HSBC,6.82,All (UG),11,4,7,2,9,NA,NA,NA,26,7,33,7,23/12/20,231
46 (a),eQ Technologic,6.82,All (UG),5,0,0,0,7,NA,NA,NA,10,2,12,8.5,06/01/21,102
46 (b),eQ Technologic,6.82,All (UG),0,0,4,0,0,NA,NA,NA,4,0,4,7.5,06/01/21,30
47,Acquia,6.82,CE & IT (UG),1,2,NA,NA,6,NA,NA,NA,5,4,9,8.38,06/01/21,75.42
48,Ciena,7.95,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,10.5,11/01/21,0
49,Platform9 Systems,7,All (UG),2,0,0,0,3,NA,NA,NA,5,0,5,10,11/01/21,50
50,Apisero,6.5,All (UG and PG),3,0,5,2,2,0,0,0,9,3,12,5.1,15/01/21,61.2
51,Sell.do,6.82,CE & IT (UG),2,1,NA,NA,0,NA,NA,NA,2,1,3,7.87,16/01/21,23.61
52,IDFC FIRST Bank,6.82,CE (UG),1,0,NA,NA,NA,NA,NA,NA,1,0,1,15,19/01/21,15
53,RBL Bank,6.82,CE & IT (UG),2,2,NA,NA,0,NA,NA,NA,1,3,4,9,22/01/21,36
54,McKinley & Rice,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,5,25/01/21,0
55,miniOrange,6.82,All (UG and PG),7,2,5,0,6,0,0,0,18,2,20,6,26/01/21,120
56,Tracelink,7,CE & IT (UG),4,1,NA,NA,0,NA,NA,NA,4,1,5,9,28/01/21,45
57,Jaro Education,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,6.6,29/01/21,0
58,Red Panda,6.82,All (UG),1,0,1,0,1,NA,NA,NA,3,0,3,5,30/01/21,15
59,Schlumberger,6.82,All (UG),0,0,0,1,1,NA,NA,NA,0,2,2,8.8,04/02/21,17.6
60,Delhivery,6.5,All (UG) and CE (PG),0,0,0,0,0,0,NA,NA,0,0,0,8,11/02/21,0
61 (a),ElasticRun,6.82,CE & IT (UG),0,0,NA,NA,1,NA,NA,NA,1,0,1,8,12/02/21,8
61 (b),ElasticRun,6.82,CE & IT (UG),1,0,NA,NA,1,NA,NA,NA,2,0,2,6,12/02/21,12
62,Helpshift Technologies,NC,All (UG),3,1,1,0,0,NA,NA,NA,3,2,5,8,15/02/21,40
63,BUDDI.AI,NC,All (UG),0,0,0,0,2,NA,NA,NA,2,0,2,7,17/02/21,14
64,Goldman Sachs,PPO,All (UG and PG),2,1,0,0,0,0,0,0,1,2,3,23,PPO,69
65,Codevita Live,6.82,All (UG and PG),0,0,1,0,0,0,0,0,0,1,1,14.4,01/03/21,14.4
66,FlexTrade,NC,CE & IT (UG and PG),2,0,NA,NA,0,0,NA,0,2,0,2,8.5,02/03/21,17
67,ADP,6.82,All (UG - Female),1,0,0,0,0,NA,NA,NA,0,1,1,5,04/03/21,5
68,EPIKInDiFi,8,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,12.75,05/03/21,0
69,Vertical Fox,6.82,CE & IT (UG),1,0,NA,NA,1,NA,NA,NA,2,0,2,6,05/03/21,12
70,Wednesday Solutions,NC,CE & IT (UG and PG),1,0,NA,NA,2,0,NA,0,3,0,3,6,15/03/21,18
71,SE2,6.82,All (UG),0,1,0,0,3,NA,NA,NA,2,2,4,6.5,19/03/21,26
72,Altizon Inc.,7,All (UG),1,1,0,0,1,NA,NA,NA,2,1,3,8.25,19/03/21,24.75
73,Uolo.com,6.82,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,12,22/03/21,0
74,K12 Techno Services,NC,All (UG and PG),0,0,5,0,1,1,0,0,5,2,7,6,23/03/21,42
75,PlanetSpark,NC,All (UG),0,0,1,1,1,NA,NA,NA,2,1,3,6.5,07/04/21,19.5
76,TechVerito,7.38,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,6,13/04/21,0
77,rtCamp,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,12,20/04/21,0
78,Jombay,NC,CE & IT (UG),1,0,NA,NA,0,NA,NA,NA,1,0,1,10,21/04/21,10
79,PTC Software,NC,All (UG and PG),1,0,0,1,1,0,0,0,1,2,3,6,22/04/21,18
80,Screen Magic,6.82,CE & IT (UG and PG),2,0,NA,NA,2,0,NA,0,1,3,4,7.3,23/04/21,29.2
81,3EA,6.82,All (UG and PG),0,0,1,0,0,0,0,0,1,0,1,6,02/05/21,6
82,EnthrallTech,6.82,All (UG),3,0,0,0,0,0,0,0,3,0,3,7,03/05/21,21
83 (a),Mindstix Software Labs,NC,All (UG and PG),0,1,0,0,1,0,0,0,1,1,2,6.3,05/05/21,12.6
83 (b),Mindstix Software Labs,NC,All (UG and PG),1,0,0,0,0,0,0,0,1,0,1,5.5,05/05/21,5.5
84,Extramarks Education,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,11.5,09/05/21,0
85,Growisto,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,6.5,10/05/21,0
86,Fabric Inc,7.5,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,8.5,14/05/21,0
87,CLSA,6.82,CE & IT (UG),0,0,NA,NA,1,NA,NA,NA,0,1,1,8,18/05/21,8
88,TIBCO,6.82,CE & IT (UG),0,1,NA,NA,1,NA,NA,NA,1,1,2,7,18/05/21,14
89,Symbl.ai,6.82,All (UG),0,0,0,1,0,NA,NA,NA,1,0,1,12,20/05/21,12
90,Cloudwerx,7.5,All (UG),0,0,2,0,0,NA,NA,NA,1,1,2,5,21/05/21,10
91,RIA Advisory,7.38,All (UG),2,1,2,0,1,NA,NA,NA,4,2,6,5.5,24/05/21,33
92,Ryussi Technologies,6.82,CE & IT (UG),1,0,NA,NA,0,NA,NA,NA,1,0,1,7.5,24/05/21,7.5
93,Swasthya AI,6.82,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,6,26/05/21,0
94,oneXtel,7,CE & IT (UG),0,1,NA,NA,1,NA,NA,NA,1,1,2,5.5,27/05/21,11
95,Hexaview Technologies,NC,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,9,09/06/21,0
96,Druva,6.82,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,12,10/06/21,0
97,64squares,6.82,All (UG),0,0,1,0,0,NA,NA,NA,0,1,1,7.5,15/06/21,7.5
98,Anchanto,6,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,7.5,20/06/21,0
99,Moxie,7,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,9.6,21/06/21,0
100,Unschool,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,5,24/06/21,0
101,PharmEasy,6.82,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,11,03/07/21,0
102,SAS,6.82,CE & IT (UG),0,0,NA,NA,1,NA,NA,NA,1,0,1,7.38,08/12/21,7.38
103,Jio,6.82,All (UG),1,0,0,0,0,NA,NA,NA,1,0,1,5,26/11/21,5
104,PublicisSapient,7.82,All (UG),0,0,3,0,0,NA,NA,NA,2,1,3,6.5,20/12/21,19.5
,Group I Total,,,192,47,94,21,149,1,0,0,353,151,504,Avg. Salary,,8.1
,,,Group II: Variant Recruiters (Salary below 5.0 LPA),,,,,,,,,,,,,,
105,Capgemini,6.82,All (UG),0,0,1,5,0,NA,NA,NA,5,1,6,3.8,29/08/20,22.8
105(a),Persistent,6.82,CE & IT (UG),1,0,NA,NA,3,NA,NA,NA,3,1,4,4.51,03/09/20,18.04
105 (b),Persistent,6.82,E&TC (UG),NA,NA,7,3,NA,NA,NA,NA,6,4,10,4.51,14/03/21,45.1
106,Accenture,7.38,All (UG),5,1,7,4,6,NA,NA,NA,10,13,23,4.5,22/09/20,103.5
107,TCS Ninja,7.95,All (UG and PG),1,0,3,2,1,0,0,0,3,4,7,3.36,04/10/20,23.52
