"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S.No. 27,Dhankawadi, Pune Satara Road, Pune 411043.
PLACEMENT REPORT (AY: 2019-20)",,,,,,,,,,,,,,,,,,
Students Placement (Companywise),,,,,,,,,,,,,,,,,,
SrNo,Company,"Criteria ( CGPA &
Branches)",,UG,,,,,PG,,,Total,,,Sal. LPA,Visit Date,"Total
Salary
LPA",
,,,,BE CE,,BE E&TC,,BE IT,ME CE,ME E&TC,ME IT,,,,,,,
,,,,,,,,,,,,M,F,T,,,,
Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,,,,,
47,Pubmatic,NC,CE & IT (UG),1,0,NA,NA,2,NA,NA,NA,3,0,3,9.42,18/09/19,28.26,
48,Financial sofware systems,7.95,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,7,19/09/19,0,
49,Honeywell,6.82,CE & IT (UG),3,2,NA,NA,0,NA,NA,NA,3,2,5,5.5,23/09/19,27.5,
50,evosys global,6.25,All(UG),0,0,2,0,0,NA,NA,NA,1,1,2,5.5,24/09/19,11,
51,RIA Advisory,6.82,All(UG),6,2,2,2,1,NA,NA,NA,10,3,13,6,25/09/19,78,
52,Capgemini,6.82,All (UG and PG),1,1,0,1,1,0,0,0,3,1,4,6.8,26/09/19,27.2,
53,SE2,6.82,All(UG),5,2,2,2,2,NA,NA,NA,11,2,13,8,30/09/19,104,
54,Shoreline,6.82,All(UG),0,0,0,0,0,NA,NA,NA,0,0,0,6.5,05/10/19,0,
55,Amdocs,6.82,All UG,1,1,5,4,2,NA,NA,NA,10,3,13,5,09/10/19,65,
56,Energy Exempler,7.5,CE & IT (UG),4,0,NA,NA,0,NA,NA,NA,2,2,4,8,11/10/19,32,
57,Altimetrik,7,All(UG),2,0,2,2,0,NA,NA,NA,3,3,6,5,14/10/19,30,
58,Fiat India Automobile,7,CE & IT (UG),1,0,NA,NA,1,NA,NA,NA,1,1,2,6.5,11/11/19,13,
59,Jaro Education,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,12.02,18/11/19,0,
60,HDFC Bank,6.82,CE & I T (UG),4,0,NA,NA,3,NA,NA,NA,4,3,7,9.5,17/12/19,66.5,
61,RBL Bank,6.82,CE & I T (UG),3,0,NA,NA,2,NA,NA,NA,2,3,5,9,19/12/19,45,
62,Fiserv,6.25,All(UG),6,2,10,4,0,NA,NA,NA,13,9,22,5.2,21/12/19,114.4,
63,Winjit Technologies,6.82,CE & IT (UG),1,0,NA,NA,0,NA,NA,NA,1,0,1,6.22,14/12/19,6.22,
64,udChalo,7,CE & IT (UG),1,0,NA,NA,2,NA,NA,NA,1,2,3,8.5,23/12/19,25.5,
