"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043
TRAINING AND PLACEMENT REPORT (2023-24)",,,,,,,,,,,,,,
Students Placement (Company Wise),,,,,,,,,,,,,,
Sr. No.,Company,Criteria (CGPA & Branches),,UG,,,,,Total,,,Sal. LPA,Total Salary LPA,
,,,,BE CE,,BE E&TC,,BE IT,,,,,,
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,M,F,T,,,
                                                                                Group I: Niche Companies (Salary above 5 LPA)                                                                                ,,,,,,,,,,,,,,
1,BMC Softwares,PPO,All UG,1,2,0,2,2,2,5,7,14,98,
2,Siemens,PPO,All UG,2,1,2,0,1,2,4,6,11,66,
3,Tiaa India,PPO,All UG,0,1,2,0,3,3,3,6,10.48,62.88,
4,Tracelink,PPO,All UG,2,1,0,0,1,4,0,4,12.75,51,
5,Deutsche Bank,PPO,All UG,0,0,0,0,2,1,1,2,19.63,39.26,
6,UBS,PPO,All UG,7,0,0,1,3,10,1,11,12.5,137.5,
7,UBS,6.82,All UG,2,1,4,0,4,9,1,11,12.5,137.5,
8,PhonePe,6,All UG,1,1,0,0,1,3,0,3,33.53,100.59,
9,BNY Mellon,7.5,All UG,4,0,0,0,1,5,0,5,21.64,108.2,
10,Druva,6.82,All UG,1,0,0,0,1,2,0,2,20.1,40.2,
11,Mastercard,PPO,All UG,7,3,3,0,3,4,12,16,13.4,214.4,
12,Mastercard,7.5,All UG,7,2,0,0,6,6,6,15,13.4,201,
13,UptiQ,6.82,All UG,1,0,0,0,0,1,0,1,22.5,22.5,
14,Avaya,8.5,All UG,4,0,0,0,1,5,0,5,12.5,62.5,
15,Altometa,PPO,All UG,1,0,0,0,0,1,0,1,15,15,
16,Schlumberger,7,All UG,0,0,0,0,2,0,2,2,19.73,39.46,
17,Bajaj Finserv,All,All UG,5,1,7,1,4,15,3,18,12.81,230.58,
18,Barclays,PPO,All UG,17,7,0,0,13,13,24,37,13.32,492.84,
19,Barclays,7,All UG,6,0,0,1,3,7,3,10,13.32,133.2,
20,Ion,8.52,All UG,7,2,1,2,5,17,0,17,14,238,
